location_id,city_name,state_name,state_code,country,region,mesoregion,latitude,longitude,altitude_m,population_class
presidente_castello_branco,Presidente Castello Branco,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-27.2218,-51.8089,0,small
presidente_getulio,Presidente Getúlio,Santa Catarina,SC,Brasil,Sul,Vale do Itajaí,-27.0426,-49.621,0,small
presidente_nereu,Presidente Nereu,Santa Catarina,SC,Brasil,Sul,Vale do Itajaí,-27.2783,-49.389,0,small
princesa,Princesa,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.4453,-53.5999,0,small
quilombo,Quilombo,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.7254,-52.7193,0,small
rancho_queimado,Rancho Queimado,Santa Catarina,SC,Brasil,Sul,Grande Florianópolis,-27.6728,-49.0124,0,small
rio_das_antas,Rio das Antas,Santa Catarina,SC,Brasil,Sul,Serrana,-26.8998,-51.0748,0,small
rio_do_campo,Rio do Campo,Santa Catarina,SC,Brasil,Sul,Serrana,-26.9468,-50.1413,0,small
rio_do_oeste,Rio do Oeste,Santa Catarina,SC,Brasil,Sul,Vale do Itajaí,-27.1933,-49.7985,0,small
rio_dos_cedros,Rio dos Cedros,Santa Catarina,SC,Brasil,Sul,Vale do Itajaí,-26.7398,-49.2718,0,small
rio_do_sul,Rio do Sul,Santa Catarina,SC,Brasil,Sul,Vale do Itajaí,-27.2163,-49.6437,0,small
rio_fortuna,Rio Fortuna,Santa Catarina,SC,Brasil,Sul,Sul Catarinense,-28.1336,-49.1048,0,small
rio_negrinho,Rio Negrinho,Santa Catarina,SC,Brasil,Sul,Norte Catarinense,-26.2591,-49.5177,0,small
rio_rufino,Rio Rufino,Santa Catarina,SC,Brasil,Sul,Serrana,-27.8617,-49.7806,0,small
riqueza,Riqueza,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-27.0698,-53.3225,0,small
rodeio,Rodeio,Santa Catarina,SC,Brasil,Sul,Vale do Itajaí,-26.9233,-49.3685,0,small
romelandia,Romelândia,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.6783,-53.319,0,small
salete,Salete,Santa Catarina,SC,Brasil,Sul,Vale do Itajaí,-26.9842,-50.0076,0,small
saltinho,Saltinho,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.6049,-53.0578,0,small
salto_veloso,Salto Veloso,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.9072,-51.4068,0,small
sangao,Sangão,Santa Catarina,SC,Brasil,Sul,Sul Catarinense,-28.6398,-49.1266,0,small
santa_cecilia,Santa Cecília,Santa Catarina,SC,Brasil,Sul,Serrana,-26.9659,-50.4183,0,small
santa_helena,Santa Helena,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.9388,-53.6194,0,small
santa_rosa_de_lima,Santa Rosa de Lima,Santa Catarina,SC,Brasil,Sul,Sul Catarinense,-28.0404,-49.128,0,small
santa_rosa_do_sul,Santa Rosa do Sul,Santa Catarina,SC,Brasil,Sul,Sul Catarinense,-29.1355,-49.7154,0,small
